code,name,1991-07
THA,Thailand,1610.12
THA.2402851,Amnat Charoen,1537.42
THA.2402852,Ang Thong,1189.7
THA.2402853,Bangkok,1430.29
THA.2402854,Buriram,1236.05
THA.2402855,Chachoengsao,1812.37
THA.2402856,Chainat,1247.33
THA.2402857,Chaiyaphum,1144.47
THA.2402858,Chanthaburi,2486.49
THA.2402859,Chiang Mai,1357.97
THA.2402860,Chiang Rai,1563.73
THA.2402861,Chonburi,1612.93
THA.2402862,Chumphon,2830.26
THA.2402863,Kalasin,1385.82
THA.2402864,Kampaeng Phet,1195.9
THA.2402865,Kanchanaburi,2466.83
THA.2402866,Khon Kaen,1199.06
THA.2402867,Krabi,2400.29
THA.2402868,Lampang,1173.43
THA.2402869,Lamphun,1166.85
THA.2402870,Loei,1268.66
THA.2402871,Lopburi,1228.73
THA.2402872,Mae Hong Son,1419.84
THA.2402873,Maha Sarakham,1247.03
THA.2402874,Mukdahan,1532.38
THA.2402875,Nakhon Nayok,1682.86
THA.2402876,Nakhon Pathom,1240.85
THA.2402877,Nakhon Phanom,1854.25
THA.2402878,Nakhon Ratchasima,1221.19
THA.2402879,Nakhon Sawan,1207.39
THA.2402880,Nakhon Si Thammarat,1949.2
THA.2402881,Nan,1387.15
THA.2402882,Narathiwat,2586.03
THA.2402883,Nong Bua Lamphu,1320.89
THA.2402884,Nong Khai,1684.52
THA.2402885,Nonthaburi,1282.13
THA.2402886,Pathum Thani,1464.28
THA.2402887,Pattani,2074.94
THA.2402888,Phachinburi,1661.32
THA.2402889,Phangnga,2835.6
THA.2402890,Phatthalung,2225.46
THA.2402891,Phayao,1445.74
THA.2402892,Phetchabun,1161.15
THA.2402893,Phetchaburi,1776.39
THA.2402894,Phichit,1186.07
THA.2402895,Phitsanulok,1257.07
THA.2402896,Phra Nakhon Si Ayudhya,1366.45
THA.2402897,Phrae,1195.17
THA.2402898,Phuket,2526.14
THA.2402899,Prachuap Khilikhan,1692.87
THA.2402900,Ranong,3427.52
THA.2402901,Ratchaburi,1724.6
THA.2402902,Rayong,1949.33
THA.2402903,Roi Et,1378.15
THA.2402904,Sa Kaeo,1618.69
THA.2402905,Sakon Nakhon,1620.23
THA.2402906,Samut Prakarn,1478
THA.2402907,Samut Sakhon,1248.7
THA.2402908,Samut Songkham,1405.11
THA.2402909,Saraburi,1410.4
THA.2402910,Satun,2153.42
THA.2402911,Si Saket,1488.53
THA.2402912,Singburi,1184.27
THA.2402913,Songkhla,2051.49
THA.2402914,Sukhothai,1174.95
THA.2402915,Suphanburi,1348.41
THA.2402916,Surat Thani,2489.75
THA.2402917,Surin,1339.59
THA.2402918,Tak,1516.54
THA.2402919,Trad,3270.24
THA.2402920,Trang,2323.91
THA.2402921,Ubon Ratchathani,1696.6
THA.2402922,Udon Thani,1481.88
THA.2402923,Uthai Thani,1513.39
THA.2402924,Uttaradit,1290.79
THA.2402925,Yala,2404.19
THA.2402926,Yasothon,1444.52